민원접수일,민원접수시간,주소,경도,위도,도로명주소
20240225,15:20:00,동대문구  천장산로7길 32-5,127.055913708894,37.5985429054069,천장산로7길 이문동 이문2동 동대문구 서울특별시
20240130,08:30:00,서울특별시 동대문구 한천로24길 77,127.06889561784573,37.56919366847563,장한로13길 장안동 장안1동 동대문구 서울특별시
20240228,23:03:00,서울특별시 동대문구 회기로25길 126,127.0581922,37.5951142,회기로25길 이문동 이문2동 동대문구 서울특별시
20231210,13:52:00,동대문구 천호대로27길 10 수화빌딩 앞 ,127.037517082477,37.57463468372,천호대로27길 용두동 용신동 동대문구 서울특별시
20231102,01:09:00,동대문구 이문로8길 37(휘경동 183-311) 앞 이면도로 [소화전 앞],127.059396459242,37.5918275564856,이문로8길 휘경1동 동대문구 서울특별시
20240208,13:27:00,동대문구 정릉천동로 58 (용두동 790) 롯데캐슬피렌체아파트 정문 앞 도로,127.036238453059,37.5771867895785,롯데케슬 왕산로26길 삼성래미안허브리츠아파트 용신동 동대문구 서울특별시
20231111,11:36:00,서울특별시 동대문구 고산자로34길 70,127.0422534008424,37.57821841040797,A동 18 왕산로34길 용신동 동대문구 서울특별시
20240118,23:16:00,어린이집(동대문구 신이문로6길 10) 주변 및 동대문구 신이문로6길 5 부터 gs25( 동대문구 이문로 178) 까지 소방도로 구간,127.063265588279,37.602661946309,이문1동 동대문구 서울특별시
20231218,06:33:00,서울특별시 동대문구 장한로18길 9,127.0696122,37.5677518,서서갈비 장한로18길 장안2동 동대문구 서울특별시
20231101,16:15:00,서울특별시 동대문구 무학로 180,127.0301991,37.5802787,무학로 용두동 용신동 동대문구 서울특별시
20240206,15:41:00,서울특별시 동대문구 천호대로 319,127.0561172,37.5650123,고미술로 답십리동 답십리1동 동대문구 서울특별시
20231120,08:12:00,서울 동대문구 용두동 797-2,127.04221112721504,37.578536025942576,고산자로34길 용두동 용신동 동대문구 서울특별시
